Store_Name, Product_Category, Product_Name, Quantity_Sold, Unit_Price, Total_Sales, Sale_Date
Delhi, Sportswear, Running Shoes,12,2999,35988,01-01-2025
Kolkata, Fitness Equipment, Yoga Mat,25,799,19975,01-01-2025
Bangalore, Cycling, Road Bike,4,54999,219996,02-01-2025
Hyderabad, Swimming, Swim Goggles,18,499,8982,02-01-2025
Chennai, Sportswear, Track Pants,30,1199,35970,03-01-2025
Pune, Fitness Equipment, Dumbbells (5kg),15,1599,23985,03-01-2025
Delhi, Camping, Tent (4-person),5,8999,44995,04-01-2025
Mumbai, Cycling, Mountain Bike,3,34999,104997,04-01-2025
Bangalore, Sportswear, Sports T-Shirt,50,499,24950,05-01-2025
Hyderabad, Swimming, Swim Cap,22,199,4378,05-01-2025
Kolkata, Fitness Equipment, Resistance Band,40,299,11960,06-01-2025
Chennai, Running, Running Socks,35,299,10465,06-01-2025
Pune, Camping, Sleeping Bag,10,2499,24990,07-01-2025
Mumbai, Swimming, Kickboard,8,699,5592,07-01-2025
Delhi, Sportswear, Hiking Shoes,7,4999,34993,08-01-2025
Bangalore, Cycling, Helmet,20,1999,39980,08-01-2025
Hyderabad, Running, Running Shorts,15,999,14985,09-01-2025
Kolkata, Fitness Equipment, Treadmill,2,49999,99998,09-01-2025
Chennai, Camping, Camping Stove,8,1599,12792,10-01-2025
Pune, Cycling, Cycle Pump,30,499,14970,10-01-2025
Delhi, Sportswear, Compression Tights,18,1499,26982,11-01-2025
Kolkata, Fitness Equipment, Dumbbells (5kg),10,1599,15990,11-01-2025
Bangalore, Cycling, Helmet,15,1999,29985,12-01-2025
Hyderabad, Swimming, Flippers,22,1499,32978,12-01-2025
Chennai, Camping, Lantern,25,799,19975,13-01-2025
Pune, Running, Running Socks,30,299,8970,13-01-2025
Mumbai, Sportswear, Track Pants,20,1199,23980,14-01-2025
Delhi, Cycling, Cycle Pump,40,499,19960,14-01-2025
Kolkata, Swimming, Kickboard,18,699,12582,15-01-2025
Bangalore, Fitness Equipment, Resistance Band,50,299,14950,15-01-2025
Hyderabad, Sportswear, Running Shoes,10,2999,29990,16-01-2025
Chennai, Camping, Tent (4-person),7,8999,62993,16-01-2025
Pune, Running, Running Shorts,15,999,14985,17-01-2025
Mumbai, Swimming, Swim Goggles,25,499,12475,17-01-2025
Delhi, Cycling, Mountain Bike,3,34999,104997,18-01-2025
Kolkata, Camping, Sleeping Bag,12,2499,29988,18-01-2025
Bangalore, Fitness Equipment, Yoga Mat,30,799,23970,19-01-2025
Hyderabad, Running, Compression Tights,10,1499,14990,19-01-2025
Chennai, Sportswear, Hiking Shoes,6,4999,29994,20-01-2025
Pune, Cycling, Road Bike,2,54999,109998,20-01-2025
Mumbai, Swimming, Swim Cap,35,199,6965,21-01-2025
Delhi, Sportswear, Sports T-Shirt,50,499,24950,21-01-2025
Kolkata, Fitness Equipment, Treadmill,2,49999,99998,22-01-2025
Bangalore, Camping, Camping Stove,10,1599,15990,22-01-2025
Hyderabad, Running, Running Socks,40,299,11960,23-01-2025
Chennai, Cycling, Helmet,25,1999,49975,23-01-2025
Pune, Swimming, Kickboard,12,699,8388,24-01-2025
Mumbai, Camping, Lantern,20,799,15980,24-01-2025
Delhi, Running, Running Shorts,20,999,19980,25-01-2025
Kolkata, Sportswear, Track Pants,30,1199,35970,25-01-2025
Bangalore, Cycling, Cycle Pump,35,499,17465,26-01-2025
Hyderabad, Fitness Equipment, Dumbbells (5kg),15,1599,23985,26-01-2025
Chennai, Sportswear, Hiking Shoes,8,4999,39992,27-01-2025
Pune, Camping, Tent (4-person),5,8999,44995,27-01-2025
Mumbai, Swimming, Swim Goggles,20,499,9980,28-01-2025
Delhi, Running, Compression Tights,12,1499,17988,28-01-2025
Kolkata, Camping, Sleeping Bag,15,2499,37485,29-01-2025
Bangalore, Cycling, Mountain Bike,2,34999,69998,29-01-2025
Hyderabad, Swimming, Flippers,18,1499,26982,30-01-2025
Chennai, Fitness Equipment, Resistance Band,50,299,14950,30-01-2025
Delhi, Swimming, Kickboard,22,699,15378,31-01-2025
Kolkata, Cycling, Road Bike,4,54999,219996,31-01-2025
Bangalore, Sportswear, Running Shoes,15,2999,44985,01-02-2025
Hyderabad, Fitness Equipment, Treadmill,1,49999,49999,01-02-2025
Chennai, Camping, Lantern,25,799,19975,02-02-2025
Pune, Running, Running Socks,40,299,11960,02-02-2025
Mumbai, Swimming, Swim Goggles,30,499,14970,03-02-2025
Delhi, Camping, Sleeping Bag,12,2499,29988,03-02-2025
Kolkata, Cycling, Helmet,18,1999,35982,04-02-2025
Bangalore, Sportswear, Track Pants,30,1199,35970,04-02-2025
Hyderabad, Running, Running Shorts,25,999,24975,05-02-2025
Chennai, Cycling, Cycle Pump,20,499,9980,05-02-2025
Pune, Fitness Equipment, Dumbbells (5kg),10,1599,15990,06-02-2025
Mumbai, Camping, Camping Stove,6,1599,9594,06-02-2025
Delhi, Sportswear, Hiking Shoes,7,4999,34993,07-02-2025
Kolkata, Swimming, Swim Cap,25,199,4975,07-02-2025
Bangalore, Fitness Equipment, Yoga Mat,50,799,39950,08-02-2025
Hyderabad, Running, Compression Tights,18,1499,26982,08-02-2025
Chennai, Camping, Tent (4-person),5,8999,44995,09-02-2025
Pune, Cycling, Mountain Bike,3,34999,104997,09-02-2025
Mumbai, Sportswear, Sports T-Shirt,40,499,19960,10-02-2025
Delhi, Swimming, Flippers,22,1499,32978,10-02-2025
Kolkata, Running, Running Socks,35,299,10465,11-02-2025
Bangalore, Camping, Lantern,20,799,15980,11-02-2025
Hyderabad, Cycling, Road Bike,2,54999,109998,12-02-2025
Chennai, Fitness Equipment, Resistance Band,30,299,8970,12-02-2025
Pune, Sportswear, Track Pants,15,1199,17985,13-02-2025
Mumbai, Running, Running Shorts,10,999,9990,13-02-2025
Delhi, Swimming, Swim Goggles,12,499,5988,14-02-2025
Kolkata, Camping, Sleeping Bag,8,2499,19992,14-02-2025
Bangalore, Cycling, Helmet,15,1999,29985,15-02-2025
Hyderabad, Sportswear, Running Shoes,25,2999,74975,15-02-2025
Chennai, Swimming, Kickboard,20,699,13980,16-02-2025
Pune, Fitness Equipment, Dumbbells (5kg),12,1599,19188,16-02-2025
Mumbai, Camping, Tent (4-person),4,8999,35996,17-02-2025
Delhi, Running, Compression Tights,15,1499,22485,17-02-2025
Kolkata, Cycling, Cycle Pump,30,499,14970,18-02-2025
Bangalore, Camping, Camping Stove,8,1599,12792,18-02-2025
Hyderabad, Sportswear, Hiking Shoes,5,4999,24995,19-02-2025
Chennai, Swimming, Swim Cap,30,199,5970,19-02-2025
Pune, Cycling, Road Bike,3,54999,164997,20-02-2025
Mumbai, Fitness Equipment, Yoga Mat,45,799,35955,20-02-2025
Delhi, Swimming, Flippers,20,1499,29980,21-02-2025
Kolkata, Camping, Lantern,30,799,23970,21-02-2025
Bangalore, Sportswear, Track Pants,40,1199,47960,22-02-2025
Hyderabad, Running, Running Shorts,15,999,14985,22-02-2025
Chennai, Cycling, Mountain Bike,4,34999,139996,23-02-2025
Pune, Swimming, Swim Goggles,35,499,17465,23-02-2025
Mumbai, Fitness Equipment, Resistance Band,50,299,14950,24-02-2025
Delhi, Camping, Tent (4-person),5,8999,44995,24-02-2025
Kolkata, Running, Compression Tights,20,1499,29980,25-02-2025
Bangalore, Sportswear, Running Shoes,12,2999,35988,25-02-2025
Hyderabad, Swimming, Kickboard,25,699,17475,26-02-2025
Chennai, Camping, Sleeping Bag,8,2499,19992,26-02-2025
Pune, Cycling, Helmet,18,1999,35982,27-02-2025
Mumbai, Fitness Equipment, Dumbbells (5kg),20,1599,31980,27-02-2025
Delhi, Camping, Camping Stove,10,1599,15990,28-02-2025
Kolkata, Sportswear, Sports T-Shirt,30,499,14970,28-02-2025
Bangalore, Running, Running Socks,45,299,13455,01-03-2025
Hyderabad, Cycling, Cycle Pump,35,499,17465,01-03-2025
Chennai, Swimming, Swim Cap,25,199,4975,02-03-2025
Pune, Camping, Lantern,12,799,9588,02-03-2025
Mumbai, Sportswear, Hiking Shoes,6,4999,29994,03-03-2025
Delhi, Fitness Equipment, Yoga Mat,30,799,23970,03-03-2025
Kolkata, Swimming, Flippers,18,1499,26982,04-03-2025
Bangalore, Camping, Tent (4-person),4,8999,35996,04-03-2025
Hyderabad, Running, Compression Tights,20,1499,29980,05-03-2025
Chennai, Cycling, Road Bike,3,54999,164997,05-03-2025
Pune, Sportswear, Track Pants,25,1199,29975,06-03-2025
Mumbai, Swimming, Swim Goggles,20,499,9980,06-03-2025
Delhi, Camping, Sleeping Bag,10,2499,24990,07-03-2025
Kolkata, Cycling, Helmet,20,1999,39980,07-03-2025
Bangalore, Running, Running Shorts,15,999,14985,08-03-2025
Hyderabad, Swimming, Kickboard,30,699,20970,08-03-2025
Chennai, Fitness Equipment, Resistance Band,40,299,11960,09-03-2025
Pune, Camping, Camping Stove,8,1599,12792,09-03-2025
Mumbai, Sportswear, Running Shoes,20,2999,59980,10-03-2025
Delhi, Swimming, Flippers,25,1499,37475,10-03-2025
Kolkata, Cycling, Cycle Pump,35,499,17465,11-03-2025
Bangalore, Camping, Lantern,18,799,14382,11-03-2025
Hyderabad, Fitness Equipment, Dumbbells (5kg),12,1599,19188,12-03-2025
Chennai, Sportswear, Sports T-Shirt,40,499,19960,12-03-2025
Pune, Running, Running Socks,50,299,14950,13-03-2025
Mumbai, Camping, Sleeping Bag,10,2499,24990,13-03-2025
Delhi, Cycling, Road Bike,2,54999,109998,14-03-2025
Kolkata, Swimming, Swim Goggles,35,499,17465,14-03-2025
Bangalore, Camping, Tent (4-person),3,8999,26997,15-03-2025
Hyderabad, Running, Compression Tights,12,1499,17988,15-03-2025
Chennai, Fitness Equipment, Yoga Mat,40,799,31960,16-03-2025
Pune, Cycling, Mountain Bike,2,34999,69998,16-03-2025
